class,model,delta_lesion_minus_control
Aortic enlargement,I-JEPA-H/95,0.015441443
Atelectasis,I-JEPA-H/95,0.0018517869
Calcification,I-JEPA-H/95,0.004148843399999999
Cardiomegaly,I-JEPA-H/95,0.012341863500000001
Consolidation,I-JEPA-H/95,0.0062390296
ILD,I-JEPA-H/95,0.002196795999999999
Infiltration,I-JEPA-H/95,0.0028042583999999997
Lung Opacity,I-JEPA-H/95,0.0131470965
Nodule/Mass,I-JEPA-H/95,0.0054876582
Other lesion,I-JEPA-H/95,0.013789496000000002
Pleural effusion,I-JEPA-H/95,0.003045351699999999
Pleural thickening,I-JEPA-H/95,0.011701209
Pneumothorax,I-JEPA-H/95,0.00030424350000000065
Pulmonary fibrosis,I-JEPA-H/95,0.010278496000000002
No finding,I-JEPA-H/95,-0.0131386293
Aortic enlargement,I-JEPA-H/201,0.003976439999999998
Atelectasis,I-JEPA-H/201,-0.0005135453999999999
Calcification,I-JEPA-H/201,0.0011368433
Cardiomegaly,I-JEPA-H/201,0.0018637490000000013
Consolidation,I-JEPA-H/201,0.0022405389999999997
ILD,I-JEPA-H/201,0.0014328318000000001
Infiltration,I-JEPA-H/201,0.0003617958
Lung Opacity,I-JEPA-H/201,-0.0005025160000000015
Nodule/Mass,I-JEPA-H/201,0.0038136079999999996
Other lesion,I-JEPA-H/201,0.00016192500000000026
Pleural effusion,I-JEPA-H/201,-0.0033522099999999944
Pleural thickening,I-JEPA-H/201,-0.0001354629999999954
Pneumothorax,I-JEPA-H/201,-0.002478145000000001
Pulmonary fibrosis,I-JEPA-H/201,-0.0006119110000000032
No finding,I-JEPA-H/201,-0.0028727779999999994
Aortic enlargement,MAE-H/97,0.0175882
Atelectasis,MAE-H/97,0.0011167420000000004
Calcification,MAE-H/97,0.0024567550000000014
Cardiomegaly,MAE-H/97,0.01546837999999999
Consolidation,MAE-H/97,0.0065625430000000005
ILD,MAE-H/97,0.0008221830000000041
Infiltration,MAE-H/97,0.004121277
Lung Opacity,MAE-H/97,0.014702454000000004
Nodule/Mass,MAE-H/97,0.005908990000000001
Other lesion,MAE-H/97,0.013935301999999997
Pleural effusion,MAE-H/97,0.010686646999999997
Pleural thickening,MAE-H/97,0.01512929
Pneumothorax,MAE-H/97,0.00040751359999999974
Pulmonary fibrosis,MAE-H/97,0.014348915
No finding,MAE-H/97,-0.013400597
