Setting,I-JEPA-H/95,I-JEPA-H/201,MAE-H/97,MAE-H/300
"Low-pass
cutoff 0.35","0.892
(drop 0.019; d 0.03)","0.905
(drop 0.011; d 0.06)","0.872
(drop 0.023; d 0.04)","0.859
(drop 0.031; d 0.05)"
"Low-pass
cutoff 0.25","0.831
(drop 0.079; d 0.15)","0.833
(drop 0.083; d 0.26)","0.736
(drop 0.159; d 0.15)","0.816
(drop 0.075; d 0.10)"
"Low-pass
cutoff 0.15","0.801
(drop 0.110; d 0.25)","0.750
(drop 0.166; d 0.54)","0.720
(drop 0.175; d 0.29)","0.745
(drop 0.146; d 0.18)"
"High-suppression
cutoff 0.35
keep 0.50","0.898
(drop 0.013; d 0.02)","0.910
(drop 0.006; d 0.02)","0.886
(drop 0.009; d 0.02)","0.879
(drop 0.012; d 0.02)"
"High-suppression
cutoff 0.25
keep 0.25","0.857
(drop 0.053; d 0.09)","0.870
(drop 0.046; d 0.19)","0.813
(drop 0.082; d 0.09)","0.847
(drop 0.043; d 0.08)"
"High-suppression
cutoff 0.15
keep 0.00","0.801
(drop 0.110; d 0.25)","0.750
(drop 0.166; d 0.54)","0.720
(drop 0.175; d 0.29)","0.745
(drop 0.146; d 0.18)"
"Band corrupt
band 0.00-0.20","0.869
(drop 0.042; d 0.10)","0.855
(drop 0.061; d 0.14)","0.871
(drop 0.024; d 0.02)","0.848
(drop 0.042; d 0.02)"
"Band corrupt
band 0.20-0.45","0.605
(drop 0.306; d 0.85)","0.614
(drop 0.302; d 0.88)","0.761
(drop 0.134; d 0.12)","0.741
(drop 0.150; d 0.14)"
"Band corrupt
band 0.45-1.00","0.719
(drop 0.191; d 0.97)","0.651
(drop 0.265; d 0.93)","0.764
(drop 0.131; d 0.20)","0.724
(drop 0.167; d 0.21)"
"Gaussian noise
sigma 0.05","0.765±0.002
(drop 0.146±0.002; d 0.89)","0.643±0.001
(drop 0.273±0.001; d 0.87)","0.788±0.001
(drop 0.107±0.001; d 0.14)","0.778±0.006
(drop 0.112±0.006; d 0.17)"
"Gaussian noise
sigma 0.10","0.634±0.002
(drop 0.276±0.002; d 0.98)","0.596±0.003
(drop 0.320±0.003; d 0.96)","0.647±0.001
(drop 0.248±0.001; d 0.32)","0.620±0.001
(drop 0.271±0.001; d 0.32)"
